Number,Latit,Long,Time,Marsh
2436,55.836045,49.1421,28.10.2020 13:14:48,18
2436,55.836048,49.136968,28.10.2020 13:15:48,18
2436,55.83606,49.134928,28.10.2020 13:16:48,18
2436,55.836038,49.130387,28.10.2020 13:17:47,18
2436,55.836033,49.124922,28.10.2020 13:18:48,18
2436,55.836045,49.121743,28.10.2020 13:19:48,18
2436,55.836048,49.121483,28.10.2020 13:20:47,18
2436,55.836053,49.118452,28.10.2020 13:21:27,18
2436,55.836082,49.108023,28.10.2020 13:22:48,18
2436,55.836057,49.105493,28.10.2020 13:23:47,18
2436,55.836027,49.102453,28.10.2020 13:24:48,18
2436,55.835837,49.099287,28.10.2020 13:25:48,18
2436,55.834875,49.090727,28.10.2020 13:26:47,18
2436,55.834835,49.090128,28.10.2020 13:27:48,18
2436,55.831455,49.091305,28.10.2020 13:29:47,18
2436,55.831105,49.090528,28.10.2020 13:30:48,18
2436,55.829533,49.082088,28.10.2020 13:31:48,18
2436,55.829822,49.081333,28.10.2020 13:32:48,18
2436,55.838297,49.081163,28.10.2020 13:35:48,18
2436,55.841597,49.08309,28.10.2020 13:36:47,18
2436,55.845422,49.084808,28.10.2020 13:37:48,18
2436,55.84785,49.084295,28.10.2020 13:38:52,18
2436,55.85793,49.105998,28.10.2020 13:42:47,18
2436,55.871513,49.080658,28.10.2020 13:56:48,18
2436,55.871513,49.080658,28.10.2020 13:57:48,18
2436,55.871513,49.080658,28.10.2020 13:58:47,18
2436,55.869432,49.081072,28.10.2020 13:59:48,18
2436,55.865333,49.079072,28.10.2020 14:00:48,18
2436,55.863212,49.078943,28.10.2020 14:01:48,18
2436,55.862323,49.084268,28.10.2020 14:02:47,18
2436,55.86191,49.086833,28.10.2020 14:03:48,18
2436,55.861392,49.090202,28.10.2020 14:04:48,18
2436,55.861122,49.091547,28.10.2020 14:05:47,18
2436,55.860337,49.09634,28.10.2020 14:06:48,18
2436,55.859663,49.100265,28.10.2020 14:07:48,18
2436,55.859648,49.100455,28.10.2020 14:08:47,18
2436,55.858168,49.101747,28.10.2020 14:09:48,18
2436,55.855675,49.098702,28.10.2020 14:10:48,18
2436,55.848128,49.087477,28.10.2020 14:12:48,18
2436,55.848222,49.08561,28.10.2020 14:13:48,18
2436,55.848222,49.08561,28.10.2020 14:14:52,18
2436,55.842075,49.083055,28.10.2020 14:16:48,18
2436,55.83865,49.080852,28.10.2020 14:17:48,18
2436,55.83744,49.080742,28.10.2020 14:18:47,18
2436,55.83408,49.080425,28.10.2020 14:19:48,18
2436,55.830108,49.081005,28.10.2020 14:21:47,18
2436,55.829638,49.081352,28.10.2020 14:22:48,18
2436,55.829428,49.082983,28.10.2020 14:23:48,18
2436,55.829773,49.085538,28.10.2020 14:24:47,18
2436,55.830592,49.091255,28.10.2020 14:25:48,18
2436,55.831153,49.091765,28.10.2020 14:26:48,18
2436,55.834187,49.090165,28.10.2020 14:27:47,18
2436,55.834795,49.090743,28.10.2020 14:28:44,18
2436,55.835782,49.099908,28.10.2020 14:29:48,18
2436,55.835897,49.10703,28.10.2020 14:32:48,18
2436,55.835877,49.112902,28.10.2020 14:33:48,18
2436,55.835883,49.119602,28.10.2020 14:34:47,18
2436,55.835842,49.130028,28.10.2020 14:36:48,18
2436,55.835842,49.132605,28.10.2020 14:37:47,18
2436,55.83585,49.136973,28.10.2020 14:38:48,18
2436,55.831783,49.147325,28.10.2020 14:42:48,18
2436,55.831158,49.147318,28.10.2020 14:43:47,18

2164, 55.842163, 49.083837,12:56:53, 18
2715, 55.7762, 49.2319,12:56:56, 18
2748, 55.826942, 49.148893,12:56:40, 18
2156, 55.857765, 49.101402,12:56:37, 18
2190, 55.836053, 49.131025,12:56:40, 18
2453, 55.765327, 49.183025,12:56:35, 18
2423, 55.792547, 49.229558,12:56:43, 18
2761, 55.790972, 49.171515,12:56:43, 18
2767, 55.803205, 49.185363,12:56:53, 18
2465, 55.763435, 49.231778,12:56:55, 18
2425, 55.836052, 49.10199,12:56:51, 18
2736, 55.7544, 49.231122,12:56:53, 18
2706, 55.858562, 49.105382,12:56:56, 18
2466, 55.871545, 49.080647,12:56:48, 18
2149, 55.829397, 49.08289,12:56:45, 18
2429, 55.835767, 49.099978,12:56:56, 18
2116, 55.751405, 49.206207,12:56:56, 18
2747, 55.771503, 49.17528,12:56:48, 18
2470, 55.792358, 49.22799,12:56:51, 18
2454, 55.835882, 49.122567,12:56:48, 18
2748, 55.826942, 49.148893,12:56:40, 18
2715, 55.7762, 49.2319,12:56:56, 18
2434, 55.82359, 49.16362,12:56:50, 18
2164, 55.842163, 49.083837,12:56:53, 18
2464, 55.790202, 49.171107,12:56:48, 18
2436, 55.806052, 49.184217,12:56:51, 18
2156, 55.857765, 49.101402,12:56:37, 18
2190, 55.836053, 49.131025,12:56:40, 18
2453, 55.765327, 49.183025,12:56:35, 18
2767, 55.803205, 49.185363,12:56:53, 18
2423, 55.792547, 49.229558,12:56:43, 18
2761, 55.790972, 49.171515,12:56:43, 18
2425, 55.836052, 49.10199,12:56:51, 18
2465, 55.763435, 49.231778,12:56:55, 18
2736, 55.7544, 49.231122,12:56:53, 18
2706, 55.858562, 49.105382,12:56:56, 18
2149, 55.829397, 49.08289,12:56:45, 18
2466, 55.871545, 49.080647,12:56:48, 18
2429, 55.835767, 49.099978,12:56:56, 18
2747, 55.771503, 49.17528,12:56:48, 18
2116, 55.751405, 49.206207,12:56:56, 18
2470, 55.792358, 49.22799,12:56:51, 18
2454, 55.835865, 49.129905,12:57:49, 18
2748, 55.825625, 49.154688,12:57:39, 18
2715, 55.772893, 49.23151,12:57:55, 18
2434, 55.826058, 49.154685,12:57:50, 18
2164, 55.845377, 49.08483,12:57:37, 18
2464, 55.789167, 49.171017,12:57:49, 18
2156, 55.855548, 49.09755,12:57:57, 18
2436, 55.809172, 49.182622,12:57:52, 18
2190, 55.836055, 49.12676,12:57:39, 18
2423, 55.792547, 49.229558,12:57:42, 18
2453, 55.766735, 49.180282,12:57:36, 18
2767, 55.800787, 49.181762,12:57:53, 18
2761, 55.792458, 49.171677,12:57:42, 18
2425, 55.835643, 49.097623,12:57:52, 18
2736, 55.7544, 49.231122,12:57:54, 18
2465, 55.766755, 49.23172,12:57:52, 18
2149, 55.829422, 49.083033,12:57:45, 18
2706, 55.859637, 49.101127,12:57:37, 18
2466, 55.867652, 49.080243,12:57:46, 18
2429, 55.835793, 49.100192,12:57:55, 18
2116, 55.748057, 49.211797,12:57:36, 18
2747, 55.770577, 49.175952,12:57:49, 18
2470, 55.790432, 49.224715,12:57:46, 18
2748, 55.825625, 49.154688,12:57:39, 18
2164, 55.845377, 49.08483,12:57:37, 18
2434, 55.826058, 49.154685,12:57:50, 18
2454, 55.835865, 49.129905,12:57:49, 18
2715, 55.772893, 49.23151,12:57:55, 18
2464, 55.789167, 49.171017,12:57:49, 18
2156, 55.855548, 49.09755,12:57:57, 18
2423, 55.792547, 49.229558,12:57:42, 18
2436, 55.809172, 49.182622,12:57:52, 18
2190, 55.836055, 49.12676,12:57:39, 18
2453, 55.766735, 49.180282,12:57:36, 18
2761, 55.792458, 49.171677,12:57:42, 18
2767, 55.800787, 49.181762,12:57:53, 18
2425, 55.835643, 49.097623,12:57:52, 18
2465, 55.766755, 49.23172,12:57:52, 18
2736, 55.7544, 49.231122,12:57:54, 18
2149, 55.829422, 49.083033,12:57:45, 18
2706, 55.859637, 49.101127,12:57:37, 18
2466, 55.867652, 49.080243,12:57:46, 18
2429, 55.835793, 49.100192,12:57:55, 18
2116, 55.748057, 49.211797,12:57:36, 18
2747, 55.770577, 49.175952,12:57:49, 18
2470, 55.790432, 49.224715,12:57:46, 18
2164, 55.850132, 49.084582,12:58:57, 18
2748, 55.82305, 49.16352,12:58:40, 18
2715, 55.771613, 49.231477,12:58:56, 18
2434, 55.828102, 49.147517,12:58:49, 18
2454, 55.835855, 49.131607,12:58:49, 18
2464, 55.78908, 49.171022,12:58:49, 18
2436, 55.811027, 49.181733,12:58:52, 18
2156, 55.85441, 49.088132,12:58:57, 18
2423, 55.792547, 49.229558,12:58:43, 18
